"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"12/09/2014","CA","Wofford Heights","Under investigation","A person died in a house fire. ","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.bakersfieldnow.com/news/local/Person-found-dead-in-Wofford-Heights-house-fire-285262521.html"
"11/25/2014","CA","Carlsbad","Under investigation","A woman in her 70's died in a condo fire","Female","73","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.10news.com/news/woman-dies-after-carlsbad-condo-fire-11252014"
"11/22/2014","CA","San Ramon","Under investigation","A 69-year-old man died in a house fire.","Male","69","Older adults (65 and older)","","Y","1 & 2 family
","Not present/not working","https://www.orovillemr.com/general-news/20141122/house-fire-kills-1-in-northern-california-suburb"
"11/22/2014","CA","Bishop","Under investigation","An 11-year-old boy died in a house fire.","Male","11","Children (14 and under)","","N","1 & 2 family
","Not reported","https://www.sierrawave.net/32752/11-year-old-boy-dies-in-fire/"
"11/21/2014","CA","Copperopolis","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.mymotherlode.com/news/227736/copper-fire-claims-life.html"
"11/20/2014","CA","San Bernardino","Under investigation","A two-year-old boy and a six-year-old girl died in an apartment fire.","Female","6","Children (14 and under)","1 of 2","N","Multifamily","Not reported","https://laist.com/2014/11/20/2_children_killed_in_apartment_fire.php"
"11/20/2014","CA","San Bernardino","Under investigation","A two-year-old boy and a six-year-old girl died in an apartment fire.","Male","2","Children (14 and under)","2 of 2","N","Multifamily","Not reported","https://laist.com/2014/11/20/2_children_killed_in_apartment_fire.php"
"11/12/2014","CA","Gridley","Under investigation","An elderly woman died in a house fire.","Male","Unknown","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.chicoer.com/news/ci_26930041/woman-2-dogs-die-gridley-house-fire"
"11/10/2014","CA","Carlsbad","Under investigation","A woman died in a house fire.","Female","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.nbcsandiego.com/news/local/Carlsbad-Fatal-House-Fire-Gaviota-282159991.html"
"11/09/2014","CA","Tulare City","Under investigation","A 70-year-old woman died in a house fire","Female","70","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.visaliatimesdelta.com/story/news/local/2014/11/19/woman-rescued-residential-fire-dies/19268197/"
